"","countryn","errort","datetime"
"1","LoadAlgeria","Error in fromJSON(""https://api.corona-dz.live/province/all""): could not find function ""fromJSON""
",2022-03-10 18:19:27
"2","LoadAustria","Error in ymd(cur_date): could not find function ""ymd""
",2022-03-10 18:20:07
"3","LoadBelgium","Error in UseMethod(""filter""): no applicable method for 'filter' applied to an object of class ""NULL""
",2022-03-10 18:20:07
"4","LoadBrazil","Error in vroom(""https://raw.githubusercontent.com/wcota/covid19br/master/cases-brazil-states.csv""): could not find function ""vroom""
",2022-03-10 18:20:07
"5","LoadCanada","Error in vroom(""https://raw.githubusercontent.com/ccodwg/Covid19Canada/master/timeseries_hr/cases_timeseries_hr.csv""): could not find function ""vroom""
",2022-03-10 18:20:07
"6","LoadChile","Error in covid19(""Chile"", level = 2): could not find function ""covid19""
",2022-03-10 18:20:07
"7","LoadCuba","Error in fromJSON(""https://github.com/covid19cubadata/covid19cubadata.github.io/raw/master/data/covid19-cuba-2.json""): could not find function ""fromJSON""
",2022-03-10 18:20:08
"8","LoadCzechia","Error in vroom(""https://onemocneni-aktualne.mzcr.cz/api/v2/covid-19/kraj-okres-nakazeni-vyleceni-umrti.csv""): could not find function ""vroom""
",2022-03-10 18:20:08
"9","LoadDenmark","Error in read_html(""https://covid19.ssi.dk/overvagningsdata/download-fil-med-overvaagningdata""): could not find function ""read_html""
",2022-03-10 18:20:08
"10","LoadEcuador","Error in vroom(""https://github.com/andrab/ecuacovid/raw/master/datos_crudos/positivas/cantones.csv""): could not find function ""vroom""
",2022-03-10 18:20:08
"11","LoadEurope","Error in inner_join(geomEUROPE, EUWHO, by = c(micro_code = ""UID"")): object 'geomEUROPE' not found
",2022-03-10 18:20:10
"12","LoadFrance","Error in inner_join(geom, frenchdf, by = c(micro_code = ""code"")): object 'geom' not found
",2022-03-10 18:20:15
"13","LoadGermany","[1m[33mError[39m in [38;5;255m[38;5;251m[48;5;235m`dplyr::mutate()`[49m[38;5;255m[39m:[22m
[38;5;255m[33m![38;5;255m Problem while computing `Date = as_date(Date)`.[39m
[1mCaused by error in [38;5;255m[38;5;251m[48;5;235m`as_date()`[49m[38;5;255m[39m:[22m
[33m![39m could not find function ""as_date""
",2022-03-10 18:25:15
"14","LoadGhana","Error in vroom(temp): could not find function ""vroom""
",2022-03-10 18:25:18
"15","LoadGoogleSourced","Error in vroom(""https://storage.googleapis.com/covid19-open-data/v3/index.csv"", : could not find function ""vroom""
",2022-03-10 18:25:18
"16","LoadIndia","Error in read_json(""https://api.covid19tracker.in/data/static/timeseries.min.json""): could not find function ""read_json""
",2022-03-10 18:25:18
"17","LoadIndonesia","Error in vroom(""https://raw.githubusercontent.com/erlange/INACOVID/master/data/csv/ext.prov.csv""): could not find function ""vroom""
",2022-03-10 18:25:18
"18","LoadIreland","Error in vroom(""https://opendata.arcgis.com/datasets/d9be85b30d7748b5b7c09450b8aede63_0.csv""): could not find function ""vroom""
",2022-03-10 18:25:18
"19","LoadItaly","Error in ymd(gsub(""-"", """", Sys.Date())): could not find function ""ymd""
",2022-03-10 18:25:18
"20","LoadJapan","Error in read_json(""https://raw.githubusercontent.com/reustle/covid19japan-data/master/docs/summary/latest.json"", : could not find function ""read_json""
",2022-03-10 18:25:18
"21","LoadMalaysia","Error in vroom(""https://raw.githubusercontent.com/MoH-Malaysia/covid19-public/main/epidemic/cases_state.csv""): could not find function ""vroom""
",2022-03-10 18:25:18
"22","LoadMexico","Error in MEX$nombre: $ operator is invalid for atomic vectors
",2022-03-10 18:25:18
"23","LoadNetherlands","Error in vroom(""https://data.rivm.nl/covid-19/COVID-19_aantallen_gemeente_per_dag.csv"", : could not find function ""vroom""
",2022-03-10 18:25:18
"24","LoadNewZealand","Error in NZ$DHBName: $ operator is invalid for atomic vectors
",2022-03-10 18:25:18
"25","LoadNigeria","Error in vroom(""https://data.humdata.org/dataset/f5c35452-d766-468a-a272-4bd82d0a3be0/resource/15b9978f-422b-4b3d-9513-359b520d8352/download/nga_subnational_covid19_hera.csv"", : could not find function ""vroom""
",2022-03-10 18:25:18
"26","LoadNorway","Error in vroom(""https://raw.githubusercontent.com/thohan88/covid19-nor-data/master/data/01_infected/msis/municipality.csv""): could not find function ""vroom""
",2022-03-10 18:25:18
"27","LoadPeru","Error in covid19(""Peru"", level = 2): could not find function ""covid19""
",2022-03-10 18:25:20
"28","LoadPhilippines","Error in drive_auth(path = oauthpath): could not find function ""drive_auth""
",2022-03-10 18:41:28
"29","LoadSaudiArabia","Error in st_read(""https://services6.arcgis.com/bKYAIlQgwHslVRaK/arcgis/rest/services/VWPlacesCasesHostedView/FeatureServer/0/query?where=1%3D1&outFields=*&outSR=4326&f=json""): could not find function ""st_read""
",2022-03-10 18:41:28
"30","LoadSouthAfrica","Error in st_read(""countries/data/geom/geomSouthAfrica.geojson""): could not find function ""st_read""
",2022-03-10 18:41:29
"31","LoadSpain","Error in as.data.frame(Spaincode): object 'Spaincode' not found
",2022-03-10 18:41:46
"32","LoadSwitzerlandLiechtenstein","Error in fromJSON(""https://www.covid19.admin.ch/api/data/context""): could not find function ""fromJSON""
",2022-03-10 18:41:47
"33","LoadTaiwan","Error in vroom(""countries/data/TaiwanPop.csv"", .name_repair = make.names): could not find function ""vroom""
",2022-03-10 18:41:51
"34","LoadThailand","Error in file(file, ""rt""): cannot open the connection
",2022-03-10 18:41:58
"35","LoadUK","Error in today(): could not find function ""today""
",2022-03-10 18:41:58
"36","LoadUS","Error in st_read(""countries/data/geom/geomUnitedStates.geojson""): could not find function ""st_read""
",2022-03-10 18:42:11
"37","LoadVenezuela","Error in vroom(""https://docs.google.com/spreadsheets/d/e/2PACX-1vQI4s0no2TS1dYxbv82nhKD7iz8fbDGwdsOI4kzJ0cg3gjOR51KIw_rNOff97Xic_fRQD41xmsDGUfM/pub?gid=1029482781&single=true&output=csv""): could not find function ""vroom""
",2022-03-10 18:42:11
"38","LoadVietnam","Error in file(file, ""rt""): cannot open the connection
",2022-03-10 18:42:11
"39","LoadZimbabwe","Error in file(file, ""rt""): cannot open the connection
",2022-03-10 18:42:11
"1","LoadNewZealand","Error: $ operator is invalid for atomic vectors
",2022-03-03 03:55:20